"district","year","total.revenue","total.revenue.per.pupil","local.revenue.per.pupil","local.percent.total.revenue","state.revenue.per.pupil","state.percent.total.revenue","federal.revenue.per.pupil","federal.percent.total.revenue","other.revenue.per.pupil","other.percent.total.revenue"
"Kahlotus School District","2011-12",2298561,42432.35,3403.3,8,35980.11,84.8,1836.39,4.3,1212.56,2.9
"Kalama School District","2011-12",7754410,8078.18,2050.09,25.4,5593.8,69.2,404.66,5,29.63,0.4
"Keller School District","2011-12",1112928,33172.23,952.29,2.9,16304.05,49.1,15853.69,47.8,62.21,0.2
"Kelso School District","2011-12",45284412,9443.62,1699.91,18,6767.98,71.7,971.54,10.3,4.19,0
"Kennewick School District","2011-12",146370044,9075.25,1409.3,15.5,6829.93,75.3,806.36,8.9,29.66,0.3
"Kent School District","2011-12",246307912,9377.76,2435,26,6170.38,65.8,769.02,8.2,3.37,0
"Kettle Falls School District","2011-12",8360841,9077.71,1229.32,13.5,6887.58,75.9,925.97,10.2,34.84,0.4
"Kiona-Benton City School District","2011-12",14697900,10366.04,1776.12,17.1,7189.14,69.4,1394.06,13.4,6.72,0.1
"Kittitas School District","2011-12",6541558,10631.49,2382.93,22.4,7361.46,69.2,857.59,8.1,29.52,0.3
"Klickitat School District","2011-12",2211924,22665.47,1231.86,5.4,18923.85,83.5,2046.4,9,463.36,2
"La Center School District","2011-12",12751434,8398,1924.37,22.9,6184.23,73.6,266.14,3.2,23.27,0.3
"La Conner School District","2011-12",8957796,14828.82,3670.12,24.7,6439.47,43.4,4617.15,31.1,102.08,0.7
"LaCrosse School District","2011-12",2563231,29919.82,6971.66,23.3,21686.86,72.5,1261.3,4.2,0,"-"
"Lake Chelan School District","2011-12",14662506,10867.88,2305.55,21.2,6969.57,64.1,1381,12.7,211.76,1.9
"Lake Quinault School District","2011-12",3175610,18660.3,3661.88,19.6,12190.03,65.3,2579,13.8,229.4,1.2
"Lake Stevens School District","2011-12",69619133,8929.18,1907.89,21.4,6420.23,71.9,479.94,5.4,121.13,1.4
"Lake Washington School District","2011-12",224149155,9204.95,2747.16,29.8,5795.27,63,461.41,5,201.11,2.2
"Lakewood School District","2011-12",21548332,9384.26,2656.19,28.3,6148.21,65.5,509.21,5.4,70.66,0.8
"Lamont School District","2011-12",751109,37744.16,9081.32,24.1,26504.2,70.2,2120.74,5.6,37.91,0.1
